"filename", "language", "Markdown", "YAML", "Dart", "Diff", "Python", "JSON", "C++", "CMake", "Swift", "XML", "Properties", "HTML", "comment", "blank", "total"
"/home/ahmed/Desktop/Quran2U/lib/main.dart", "Dart", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 25, 214
"/home/ahmed/Desktop/Quran2U/lib/models/dua.dart", "Dart", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/home/ahmed/Desktop/Quran2U/lib/models/hadith_model.dart", "Dart", 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 29, 254
"/home/ahmed/Desktop/Quran2U/lib/models/models.dart", "Dart", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 16, 135
"/home/ahmed/Desktop/Quran2U/lib/models/models.freezed.dart", "Dart", 0, 0, 1666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 152, 1894
"/home/ahmed/Desktop/Quran2U/lib/models/models.g.dart", "Dart", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 161
"/home/ahmed/Desktop/Quran2U/lib/models/share_card_style.dart", "Dart", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 15, 100
"/home/ahmed/Desktop/Quran2U/lib/models/word_insight.dart", "Dart", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 29, 195
"/home/ahmed/Desktop/Quran2U/lib/providers/hadith_providers.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 25
"/home/ahmed/Desktop/Quran2U/lib/providers/providers.dart", "Dart", 0, 0, 534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 90, 661
"/home/ahmed/Desktop/Quran2U/lib/providers/reading_progress_provider.dart", "Dart", 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 27, 225
"/home/ahmed/Desktop/Quran2U/lib/providers/search_providers.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 39
"/home/ahmed/Desktop/Quran2U/lib/providers/word_insight_providers.dart", "Dart", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 23, 153
"/home/ahmed/Desktop/Quran2U/lib/screens/ayah_word_picker.dart", "Dart", 0, 0, 546, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 30, 602
"/home/ahmed/Desktop/Quran2U/lib/screens/bookmarks_screen.dart", "Dart", 0, 0, 474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 29, 530
"/home/ahmed/Desktop/Quran2U/lib/screens/changelog_screen.dart", "Dart", 0, 0, 492, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 47, 575
"/home/ahmed/Desktop/Quran2U/lib/screens/daily_inspiration_screen.dart", "Dart", 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 211
"/home/ahmed/Desktop/Quran2U/lib/screens/downloads_screen.dart", "Dart", 0, 0, 339, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 360
"/home/ahmed/Desktop/Quran2U/lib/screens/duas_screen.dart", "Dart", 0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 22, 329
"/home/ahmed/Desktop/Quran2U/lib/screens/hadith_reader_screen.dart", "Dart", 0, 0, 417, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 30, 456
"/home/ahmed/Desktop/Quran2U/lib/screens/home_screen.dart", "Dart", 0, 0, 1283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 77, 1429
"/home/ahmed/Desktop/Quran2U/lib/screens/login_screen.dart", "Dart", 0, 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 22, 297
"/home/ahmed/Desktop/Quran2U/lib/screens/main_shell.dart", "Dart", 0, 0, 394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 27, 474
"/home/ahmed/Desktop/Quran2U/lib/screens/now_playing_screen.dart", "Dart", 0, 0, 641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 48, 698
"/home/ahmed/Desktop/Quran2U/lib/screens/prayer_times_screen.dart", "Dart", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 150
"/home/ahmed/Desktop/Quran2U/lib/screens/qibla_screen.dart", "Dart", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 216
"/home/ahmed/Desktop/Quran2U/lib/screens/quiz_screen.dart", "Dart", 0, 0, 574, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 52, 662
"/home/ahmed/Desktop/Quran2U/lib/screens/quiz_stats_screen.dart", "Dart", 0, 0, 539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 48, 644
"/home/ahmed/Desktop/Quran2U/lib/screens/quran_search_screen.dart", "Dart", 0, 0, 645, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 50, 731
"/home/ahmed/Desktop/Quran2U/lib/screens/read_quran_screen.dart", "Dart", 0, 0, 726, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 51, 814
"/home/ahmed/Desktop/Quran2U/lib/screens/read_tab_screen.dart", "Dart", 0, 0, 1035, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 66, 1111
"/home/ahmed/Desktop/Quran2U/lib/screens/settings_screen.dart", "Dart", 0, 0, 2233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 126, 2437
"/home/ahmed/Desktop/Quran2U/lib/screens/share_ayah_screen.dart", "Dart", 0, 0, 502, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 44, 597
"/home/ahmed/Desktop/Quran2U/lib/screens/surah_detail_screen.dart", "Dart", 0, 0, 1107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 61, 1186
"/home/ahmed/Desktop/Quran2U/lib/screens/tafseer_screen.dart", "Dart", 0, 0, 337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33, 378
"/home/ahmed/Desktop/Quran2U/lib/screens/word_insight_screen.dart", "Dart", 0, 0, 1028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 57, 1114
"/home/ahmed/Desktop/Quran2U/lib/services/adhan_service.dart", "Dart", 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 28, 204
"/home/ahmed/Desktop/Quran2U/lib/services/arabic_text_utils.dart", "Dart", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 20, 153
"/home/ahmed/Desktop/Quran2U/lib/services/audio_player_service.dart", "Dart", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 101
"/home/ahmed/Desktop/Quran2U/lib/services/database_helper.dart", "Dart", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 81
"/home/ahmed/Desktop/Quran2U/lib/services/download_service.dart", "Dart", 0, 0, 336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54, 395
"/home/ahmed/Desktop/Quran2U/lib/services/hadith_service.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 39
"/home/ahmed/Desktop/Quran2U/lib/services/hijri_date.dart", "Dart", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 19, 120
"/home/ahmed/Desktop/Quran2U/lib/services/interleaved_audio_service.dart", "Dart", 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36, 209
"/home/ahmed/Desktop/Quran2U/lib/services/mushaf_api_service.dart", "Dart", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 85
"/home/ahmed/Desktop/Quran2U/lib/services/notification_service.dart", "Dart", 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 38, 323
"/home/ahmed/Desktop/Quran2U/lib/services/perf_governor.dart", "Dart", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 21, 125
"/home/ahmed/Desktop/Quran2U/lib/services/quiz_engine.dart", "Dart", 0, 0, 443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 65, 613
"/home/ahmed/Desktop/Quran2U/lib/services/quiz_storage.dart", "Dart", 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 40, 289
"/home/ahmed/Desktop/Quran2U/lib/services/quran_api_service.dart", "Dart", 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 34, 263
"/home/ahmed/Desktop/Quran2U/lib/services/quran_auth_service.dart", "Dart", 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34, 275
"/home/ahmed/Desktop/Quran2U/lib/services/quran_search_service.dart", "Dart", 0, 0, 519, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 112, 745
"/home/ahmed/Desktop/Quran2U/lib/services/tafseer_service.dart", "Dart", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 123
"/home/ahmed/Desktop/Quran2U/lib/services/time_format.dart", "Dart", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 37
"/home/ahmed/Desktop/Quran2U/lib/services/update_service.dart", "Dart", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 74
"/home/ahmed/Desktop/Quran2U/lib/services/widget_service.dart", "Dart", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 19, 190
"/home/ahmed/Desktop/Quran2U/lib/services/word_insight_service.dart", "Dart", 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 39, 249
