"filename", "language", "Markdown", "YAML", "Dart", "Properties", "Swift", "CMake", "C++", "XML", "comment", "blank", "total"
"/home/ahmed/Desktop/Quran2U/lib/ui_v2/app_theme.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, -1, 39
"/home/ahmed/Desktop/Quran2U/lib/ui_v2/app_typography.dart", "Dart", 0, 0, 91, 0, 0, 0, 0, 0, 28, 13, 132
"/home/ahmed/Desktop/Quran2U/lib/ui_v2/glass.dart", "Dart", 0, 0, 695, 0, 0, 0, 0, 0, 191, 122, 1008
"/home/ahmed/Desktop/Quran2U/lib/ui_v2/widgets/calm_light_background.dart", "Dart", 0, 0, 117, 0, 0, 0, 0, 0, 35, 21, 173
"/home/ahmed/Desktop/Quran2U/lib/ui_v2/widgets/glass_panel.dart", "Dart", 0, 0, 10, 0, 0, 0, 0, 0, 28, 4, 42
"/home/ahmed/Desktop/Quran2U/lib/ui_v2/widgets/q_kit.dart", "Dart", 0, 0, 204, 0, 0, 0, 0, 0, 25, 31, 260
"/home/ahmed/Desktop/Quran2U/linux/flutter/generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/ahmed/Desktop/Quran2U/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/home/ahmed/Desktop/Quran2U/pubspec.yaml", "YAML", 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/home/ahmed/Desktop/Quran2U/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"/home/ahmed/Desktop/Quran2U/windows/flutter/generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"Total", "-", 317, 10, 12361, 3, 4, 3, 3, 149, 1648, 1270, 15768
