"filename", "language", "YAML", "Properties", "XML", "Dart", "Python", "Markdown", "JSON", "Diff", "C++", "CMake", "HTML", "Swift", "comment", "blank", "total"
"/home/ahmed/Desktop/Quran2U/linux/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 6, 16
"/home/ahmed/Desktop/Quran2U/linux/flutter/generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"/home/ahmed/Desktop/Quran2U/linux/runner/CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"/home/ahmed/Desktop/Quran2U/linux/runner/main.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/home/ahmed/Desktop/Quran2U/linux/runner/my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 26, 29, 149
"/home/ahmed/Desktop/Quran2U/linux/runner/my_application.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 7, 5, 22
"/home/ahmed/Desktop/Quran2U/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 3, 4, 35
"/home/ahmed/Desktop/Quran2U/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 3, 14
"/home/ahmed/Desktop/Quran2U/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"/home/ahmed/Desktop/Quran2U/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 344
"/home/ahmed/Desktop/Quran2U/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 16
"/home/ahmed/Desktop/Quran2U/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 4, 13
"/home/ahmed/Desktop/Quran2U/parsed_duas.json", "JSON", 0, 0, 0, 0, 0, 0, 2672, 0, 0, 0, 0, 0, 0, 0, 2672
"/home/ahmed/Desktop/Quran2U/pubspec.yaml", "YAML", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 16, 87
"/home/ahmed/Desktop/Quran2U/scripts/build_hadith_db.py", "Python", 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 15, 33, 192
"/home/ahmed/Desktop/Quran2U/scripts/build_hisnul_muslim_dart.py", "Python", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 10, 5, 44
"/home/ahmed/Desktop/Quran2U/scripts/parse_hisnul_muslim.py", "Python", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 20, 19, 127
"/home/ahmed/Desktop/Quran2U/test_parse.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 65
"/home/ahmed/Desktop/Quran2U/test_parse2.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 27
"/home/ahmed/Desktop/Quran2U/test_parse_final.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 39
"/home/ahmed/Desktop/Quran2U/test_tz_info.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/ahmed/Desktop/Quran2U/test_urls.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 56
"/home/ahmed/Desktop/Quran2U/ui_v2/app_colors.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 25
"/home/ahmed/Desktop/Quran2U/ui_v2/app_theme.dart", "Dart", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 95
"/home/ahmed/Desktop/Quran2U/ui_v2/widgets/glass_panel.dart", "Dart", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 62
"/home/ahmed/Desktop/Quran2U/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 23, 5, 47
"/home/ahmed/Desktop/Quran2U/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"/home/ahmed/Desktop/Quran2U/windows/CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 20, 109
"/home/ahmed/Desktop/Quran2U/windows/flutter/CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 12, 110
"/home/ahmed/Desktop/Quran2U/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 5, 24
"/home/ahmed/Desktop/Quran2U/windows/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 6, 16
"/home/ahmed/Desktop/Quran2U/windows/flutter/generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 6, 28
"/home/ahmed/Desktop/Quran2U/windows/runner/CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 7, 41
"/home/ahmed/Desktop/Quran2U/windows/runner/flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 7, 16, 72
"/home/ahmed/Desktop/Quran2U/windows/runner/flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 9, 34
"/home/ahmed/Desktop/Quran2U/windows/runner/main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 10, 44
"/home/ahmed/Desktop/Quran2U/windows/runner/resource.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 6, 2, 17
"/home/ahmed/Desktop/Quran2U/windows/runner/utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 2, 10, 66
"/home/ahmed/Desktop/Quran2U/windows/runner/utils.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 6, 6, 20
"/home/ahmed/Desktop/Quran2U/windows/runner/win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 24, 55, 289
"/home/ahmed/Desktop/Quran2U/windows/runner/win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 31, 24, 103
"Total", "-", 67, 7, 806, 16316, 261, 44, 2920, 3499, 578, 468, 19, 83, 764, 1769, 27601
