"filename", "language", "C++", "CMake", "JSON", "HTML", "Dart", "YAML", "Swift", "XML", "Markdown", "Properties", "comment", "blank", "total"
"c:\Users\FC\Desktop\Quran app\Quran2U\lib\screens\surah_detail_screen.dart", "Dart", 0, 0, 0, 0, 1079, 0, 0, 0, 0, 0, 3, 51, 1133
"c:\Users\FC\Desktop\Quran app\Quran2U\lib\services\audio_player_service.dart", "Dart", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 1, 16, 92
"c:\Users\FC\Desktop\Quran app\Quran2U\lib\services\download_service.dart", "Dart", 0, 0, 0, 0, 336, 0, 0, 0, 0, 0, 5, 54, 395
"c:\Users\FC\Desktop\Quran app\Quran2U\lib\services\interleaved_audio_service.dart", "Dart", 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 5, 34, 193
"c:\Users\FC\Desktop\Quran app\Quran2U\lib\services\mushaf_api_service.dart", "Dart", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 8, 47
"c:\Users\FC\Desktop\Quran app\Quran2U\lib\services\notification_service.dart", "Dart", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 5, 9, 102
"c:\Users\FC\Desktop\Quran app\Quran2U\lib\services\quran_api_service.dart", "Dart", 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 12, 25, 195
"c:\Users\FC\Desktop\Quran app\Quran2U\linux\CMakeLists.txt", "CMake", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"c:\Users\FC\Desktop\Quran app\Quran2U\linux\flutter\CMakeLists.txt", "CMake", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Users\FC\Desktop\Quran app\Quran2U\linux\flutter\generated_plugin_registrant.cc", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\FC\Desktop\Quran app\Quran2U\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\FC\Desktop\Quran app\Quran2U\linux\flutter\generated_plugins.cmake", "CMake", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\FC\Desktop\Quran app\Quran2U\linux\runner\CMakeLists.txt", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\FC\Desktop\Quran app\Quran2U\linux\runner\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\FC\Desktop\Quran app\Quran2U\linux\runner\my_application.cc", "C++", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 29, 149
"c:\Users\FC\Desktop\Quran app\Quran2U\linux\runner\my_application.h", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 22
"c:\Users\FC\Desktop\Quran app\Quran2U\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 4, 27
"c:\Users\FC\Desktop\Quran app\Quran2U\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\Users\FC\Desktop\Quran app\Quran2U\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
